tower_id,radio,operator,net,lat,lon,range,area
13372417,LTE,e&,3,27.2156,31.0793,1000,42366
14226467,LTE,e&,3,27.222,31.0713,1000,42366
14109698,LTE,e&,3,27.2285,31.0632,1000,42366
14109697,LTE,e&,3,27.2341,31.0564,1000,42366
14335235,LTE,e&,3,27.2394,31.0499,1000,42366
14311428,LTE,e&,3,27.2448,31.0431,1000,42366
14335236,LTE,e&,3,27.2496,31.0371,1000,42366
13180162,LTE,e&,3,27.256,31.0292,1000,42361
13180163,LTE,e&,3,27.2646,31.0186,1000,42361
14258691,LTE,e&,3,27.2701,31.0118,1000,42361
14258692,LTE,e&,3,27.2779,31.0021,1000,42361
12909827,LTE,e&,3,27.2856,30.9926,1000,42361
13416962,LTE,e&,3,27.2961,30.9796,1263,42367
12909057,LTE,e&,3,27.3064,30.9668,1000,42367
14159619,LTE,e&,3,27.3112,30.9611,1000,42367
14143234,LTE,e&,3,27.3146,30.9577,1000,42367
14143235,LTE,e&,3,27.3224,30.9509,1000,42367
13179906,LTE,e&,3,27.3332,30.9414,1000,42367
13179908,LTE,e&,3,27.3421,30.9336,1000,42367
13418753,LTE,e&,3,27.3483,30.9281,1000,42367
13181187,LTE,e&,3,27.3595,30.9183,966,42367
14109953,LTE,e&,3,27.3695,30.9095,1000,42361
14109956,LTE,e&,3,27.3754,30.9042,1000,42361
13547778,LTE,e&,3,27.3826,30.8978,1000,42361
13547779,LTE,e&,3,27.3885,30.8924,1000,42361
14193409,LTE,e&,3,27.4088,30.8687,2194,42361
14191364,LTE,e&,3,27.4096,30.8678,1059,42361
15511703,UMTS,e&,3,27.4233,30.8508,1000,32367
15522738,UMTS,e&,3,27.4322,30.84,1255,32367
14125571,LTE,e&,3,27.4424,30.8296,1000,42367
14125572,LTE,e&,3,27.4519,30.8264,1024,42367
13325826,LTE,e&,3,27.4654,30.8223,1000,42367
13325827,LTE,e&,3,27.4729,30.8199,1000,42367
13325869,LTE,e&,3,27.4807,30.8175,1000,42367
13325868,LTE,e&,3,27.489,30.8148,1000,42367
14191618,LTE,e&,3,27.4948,30.813,1000,42361
14191617,LTE,e&,3,27.5041,30.81,1000,42361
14335491,LTE,e&,3,27.5183,30.809,1354,42386
14310914,LTE,e&,3,27.5346,30.8103,1000,42386
13158659,LTE,e&,3,27.5426,30.811,1000,42386
13134849,LTE,e&,3,27.5542,30.812,1000,42386
14310658,LTE,e&,3,27.5599,30.8128,1000,42386
13276675,LTE,e&,3,27.565,30.8142,1000,42386
13003010,LTE,e&,3,27.5706,30.817,1000,42386
13118979,LTE,e&,3,27.5764,30.8203,1000,42386
12884993,LTE,e&,3,27.583,30.8242,1000,42386
14146050,LTE,e&,3,27.5902,30.8283,1000,42386
12931075,LTE,e&,3,27.5992,30.8335,1000,42386
12931076,LTE,e&,3,27.6101,30.8398,1000,42386
13494529,LTE,e&,3,27.6197,30.8454,1000,42382
12904963,LTE,e&,3,27.6327,30.853,1000,42382
13150210,LTE,e&,3,27.6423,30.8584,1000,42382
14128897,LTE,e&,3,27.6499,30.861,1000,42382
12904964,LTE,e&,3,27.6537,30.862,1000,42382
13146116,LTE,e&,3,27.6564,30.8627,1000,42382
13341700,LTE,e&,3,27.669,30.8659,1317,42382
13146626,LTE,e&,3,27.6846,30.87,1000,42382
13146628,LTE,e&,3,27.6995,30.8692,1222,42382
14232068,LTE,e&,3,27.711,30.8624,1000,42386
13334786,LTE,e&,3,27.7233,30.8546,1416,42386
13333249,LTE,e&,3,27.724,30.8535,1000,42386
13427459,LTE,e&,3,27.739,30.8484,1000,42386
13427460,LTE,e&,3,27.7446,30.8475,1000,42386
14321184,LTE,e&,3,27.7522,30.8465,1000,42386
14321156,LTE,e&,3,27.7642,30.8449,1000,42386
13129219,LTE,e&,3,27.7792,30.8429,1000,42386
14203649,LTE,e&,3,27.7851,30.8426,1000,42386
14274050,LTE,e&,3,27.7904,30.844,1000,42386
14274049,LTE,e&,3,27.7966,30.8407,1000,42386
14274051,LTE,e&,3,27.8057,30.8153,2277,42386
13341443,LTE,e&,3,27.8015,30.8254,1000,42386
14104579,LTE,e&,3,27.8264,30.8011,1261,42383
14104580,LTE,e&,3,27.8411,30.7999,1000,42383
14187779,LTE,e&,3,27.8622,30.8004,1450,42383
14187780,LTE,e&,3,27.881,30.8054,1000,42383
13214978,LTE,e&,3,27.8906,30.8087,1000,42383
13214986,LTE,e&,3,27.897,30.8108,1000,42383
13340930,LTE,e&,3,27.9043,30.8133,1000,42383
14161667,LTE,e&,3,27.9136,30.8164,1000,42383
13090307,LTE,e&,3,27.9234,30.8198,1000,42383
14174980,LTE,e&,3,27.9347,30.8235,1000,42383
14174976,LTE,e&,3,27.9423,30.826,1000,42383
13285929,LTE,e&,3,27.9493,30.8283,1000,42383
14207788,LTE,e&,3,27.9561,30.8306,1000,42383
14207789,LTE,e&,3,27.9638,30.8328,1000,42383
13335300,LTE,e&,3,27.9781,30.8278,1179,42383
13084930,LTE,e&,3,27.9958,30.8195,985,42196
13084931,LTE,e&,3,28.0077,30.814,1000,42196
13084932,LTE,e&,3,28.0145,30.8107,1000,42196
14279682,LTE,e&,3,28.0216,30.8065,1000,42192
14279724,LTE,e&,3,28.0269,30.8033,1000,42192
14279684,LTE,e&,3,28.0357,30.7979,1000,42192
14158595,LTE,e&,3,28.043,30.7933,1000,42192
14158593,LTE,e&,3,28.0495,30.7881,1000,42192
13082625,LTE,e&,3,28.0569,30.7808,1000,42192
13422338,LTE,e&,3,28.0649,30.773,1000,42192
13422339,LTE,e&,3,28.0737,30.7642,1000,42192
13452801,LTE,e&,3,28.078,30.7605,1000,42192
14162179,LTE,e&,3,28.0817,30.7591,1000,42192
14162177,LTE,e&,3,28.0837,30.7587,1000,42192
14105089,LTE,e&,3,28.087,30.758,1000,42192
13553411,LTE,e&,3,28.09,30.7573,1000,42192
14121731,LTE,e&,3,28.0915,30.7569,1000,42192
14121732,LTE,e&,3,28.093,30.7562,1000,42192
14105602,LTE,e&,3,28.0959,30.7543,1000,42192
14105603,LTE,e&,3,28.0995,30.752,1000,42192
14119426,LTE,e&,3,28.1032,30.7504,1000,42192
12826883,LTE,e&,3,28.1061,30.7492,1000,42192
12826881,LTE,e&,3,28.1105,30.7474,1000,42192
13060355,LTE,e&,3,28.114,30.746,1000,42192
14104067,LTE,e&,3,28.1157,30.7454,1000,42192
13060354,LTE,e&,3,28.1174,30.7447,1000,42192
13060353,LTE,e&,3,28.1197,30.7439,1000,42192
14106122,LTE,e&,3,28.1255,30.7417,1000,42192
14106113,LTE,e&,3,28.1336,30.7386,1000,42192
14155522,LTE,e&,3,28.1406,30.7359,1000,42192
14242838,LTE,e&,3,28.1458,30.7339,1000,42196
14155523,LTE,e&,3,28.1532,30.7311,1000,42192
13357313,LTE,e&,3,28.1592,30.7288,1000,42192
13083414,LTE,e&,3,28.1677,30.7265,1000,42192
14213124,LTE,e&,3,28.1756,30.7265,1000,42192
14200579,LTE,e&,3,28.1833,30.7268,1000,42196
14200588,LTE,e&,3,28.1933,30.7272,1000,42196
13180674,LTE,e&,3,28.2017,30.7274,1000,42196
13152778,LTE,e&,3,28.2109,30.7277,1000,42196
13040897,LTE,e&,3,28.2286,30.7283,1177,42196
51038,GSM,e&,3,28.2251,30.7282,1000,22152
14309378,LTE,e&,3,28.2312,30.7284,1000,42196
13143300,LTE,e&,3,28.2443,30.7289,1000,42196
14309377,LTE,e&,3,28.2561,30.7293,1000,42196
14257154,LTE,e&,3,28.2659,30.7296,1000,42197
14257156,LTE,e&,3,28.2764,30.7271,1000,42197
13027331,LTE,e&,3,28.2894,30.7221,1000,42197
13027332,LTE,e&,3,28.3012,30.7176,1000,42197
13082883,LTE,e&,3,28.3074,30.7153,1000,42197
14104322,LTE,e&,3,28.3145,30.7125,1000,42197
14272001,LTE,e&,3,28.3223,30.71,1000,42197
14299394,LTE,e&,3,28.3297,30.7099,1000,42197
14272004,LTE,e&,3,28.336,30.7133,1000,42197
14111747,LTE,e&,3,28.3415,30.7198,1000,42197
13213186,LTE,e&,3,28.3458,30.73,1000,42196
13083140,LTE,e&,3,28.3492,30.7381,1000,42197
13083137,LTE,e&,3,28.3528,30.7456,1000,42197
14162946,LTE,e&,3,28.361,30.7522,1000,42197
14162945,LTE,e&,3,28.3696,30.7578,1000,42197
14393633,UMTS,e&,3,28.3806,30.7651,1000,32197
13131266,LTE,e&,3,28.3876,30.7697,1000,42196
13131265,LTE,e&,3,28.3963,30.7753,1000,42196
13316099,LTE,e&,3,28.4033,30.7799,1000,42196
13311491,LTE,e&,3,28.4099,30.7842,1000,42196
13311490,LTE,e&,3,28.4158,30.7881,1000,42196
14118914,LTE,e&,3,28.4181,30.7896,1000,42196
14118913,LTE,e&,3,28.4218,30.792,1000,42196
13131524,LTE,e&,3,28.4274,30.7957,1000,42196
13337090,LTE,e&,3,28.4357,30.8011,1000,42212
13257513,LTE,e&,3,28.4414,30.8048,1000,42212
13257514,LTE,e&,3,28.4438,30.8064,1000,42212
13257476,LTE,e&,3,28.4461,30.8079,1000,42212
13257516,LTE,e&,3,28.4488,30.8097,1000,42212
13257517,LTE,e&,3,28.4524,30.812,1000,42212
13205784,LTE,e&,3,28.4572,30.8151,1000,42215
13068292,LTE,e&,3,28.4686,30.8154,1012,42215
13363714,LTE,e&,3,28.4804,30.8116,1000,42215
13363715,LTE,e&,3,28.4875,30.8092,1000,42215
14118658,LTE,e&,3,28.493,30.8072,1000,42215
13509123,LTE,e&,3,28.5008,30.8045,1000,42215
13338881,LTE,e&,3,28.5064,30.8025,1000,42215
14166018,LTE,e&,3,28.5159,30.8002,1000,42215
13509121,LTE,e&,3,28.5241,30.8016,1000,42215
13284611,LTE,e&,3,28.5362,30.8043,1136,42215
13284609,LTE,e&,3,28.553,30.8081,1000,42215
14188292,LTE,e&,3,28.5724,30.8125,1645,42212
14106625,LTE,e&,3,28.5897,30.8165,1000,42212
14106636,LTE,e&,3,28.5959,30.8178,1000,42212
14222338,LTE,e&,3,28.6042,30.8197,1000,42212
13235713,LTE,e&,3,28.614,30.8219,1000,42212
14187523,LTE,e&,3,28.6255,30.8245,1000,42215
14187524,LTE,e&,3,28.6329,30.8262,1000,42215
13533186,LTE,e&,3,28.6391,30.8294,1000,42215
13533442,LTE,e&,3,28.6447,30.8342,1000,42215
14124034,LTE,e&,3,28.6497,30.8387,1000,42215
14124035,LTE,e&,3,28.6554,30.8437,1000,42215
14327300,LTE,e&,3,28.6634,30.8484,1000,42035
13212676,LTE,e&,3,28.6756,30.8509,1000,42215
13338627,LTE,e&,3,28.6916,30.8542,1000,42215
14125059,LTE,e&,3,28.7031,30.8565,1000,42035
14125058,LTE,e&,3,28.7112,30.8582,1000,42035
13163779,LTE,e&,3,28.7209,30.8601,1000,42035
13163780,LTE,e&,3,28.7292,30.8618,1000,42035
14098946,LTE,e&,3,28.737,30.8637,1000,42035
13330435,LTE,e&,3,28.7533,30.8706,1649,42035
14098945,LTE,e&,3,28.7543,30.871,1000,42035
13330436,LTE,e&,3,28.7699,30.8777,1000,42035
14320131,LTE,e&,3,28.782,30.8829,1155,42035
13169156,LTE,e&,3,28.795,30.8884,1000,42035
13169923,LTE,e&,3,28.8043,30.8924,1000,42038
13404418,LTE,e&,3,28.8098,30.895,1000,42038
13182467,LTE,e&,3,28.8156,30.8988,1000,42038
13004034,LTE,e&,3,28.8203,30.9021,1000,42038
13175042,LTE,e&,3,28.8263,30.9051,1000,42038
14118145,LTE,e&,3,28.8312,30.9068,1000,42038
14326275,LTE,e&,3,28.8413,30.9102,1000,42038
14326273,LTE,e&,3,28.8548,30.9146,1000,42038
13153537,LTE,e&,3,28.8659,30.9182,1000,42038
13213443,LTE,e&,3,28.8771,30.922,1000,44025
13213442,LTE,e&,3,28.8875,30.9279,1000,44025
13213440,LTE,e&,3,28.8924,30.9344,1000,44025
13153795,LTE,e&,3,28.8966,30.941,1000,44025
13153796,LTE,e&,3,28.9038,30.9525,1129,44025
13153793,LTE,e&,3,28.9123,30.9659,1000,44025
13231362,LTE,e&,3,28.9183,30.9754,1000,44025
14175489,LTE,e&,3,28.9246,30.9833,1000,44025
14276609,LTE,e&,3,28.9316,30.9866,1000,44025
14276611,LTE,e&,3,28.9382,30.9888,1000,44025
13500675,LTE,e&,3,28.9511,30.993,1018,44025
13164803,LTE,e&,3,28.9642,30.9973,1000,44025
13400322,LTE,e&,3,28.9747,31.0007,1000,44025
13400320,LTE,e&,3,28.9886,31.0065,1000,44025
13339906,LTE,e&,3,29.0014,31.0155,1000,44022
13339904,LTE,e&,3,29.0136,31.0242,1000,44022
13504772,LTE,e&,3,29.0243,31.0319,1000,44025
14099201,LTE,e&,3,29.0297,31.0357,1000,44022
14099200,LTE,e&,3,29.0369,31.0408,1000,44022
13165059,LTE,e&,3,29.044,31.046,1000,44022
13165056,LTE,e&,3,29.0541,31.0532,1000,44022
14307588,LTE,e&,3,29.064,31.0602,1000,44024
14307585,LTE,e&,3,29.0696,31.0654,1000,44024
13004547,LTE,e&,3,29.0725,31.0734,1000,44024
13004545,LTE,e&,3,29.0738,31.0803,1000,44024
14098178,LTE,e&,3,29.0749,31.0868,1000,44024
14097921,LTE,e&,3,29.0757,31.0915,1000,44024
13239556,LTE,e&,3,29.0765,31.0957,1000,44024
